course_id,course_name,user_id,final_score,current_score,failed,total_activity_time,page_views,page_views_level,participations,participations_level,on_time,late,missing,morning_activity,afternoon_activity,evening_activity,night_activity,dominant_time,is_morning_studier,is_evening_studier,time_concentration,activity_span_days,unique_active_hours,avg_gap_hours,gap_std_hours,modules_completed,first_module_time
86005,TALL DE COMPETENCIAS DIGITALES-P01,117316,68.26,77.57,0,5544,440,2,8,2,7,0,11,28,179,95,138,afternoon,0,0,0.4068181818181818,130,44,72.6046511627907,94.07472031115745,4,2025-08-16T01:26:30+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,116344,82.44,82.44,0,2239,792,2,11,2,11,0,7,126,361,135,170,afternoon,0,0,0.45580808080808083,136,55,60.44444444444444,73.52265125057433,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,117271,82.75,82.75,0,4613,1289,3,15,2,11,0,4,212,468,416,193,afternoon,0,0,0.3630721489526765,142,76,45.68,56.77233128910596,4,2025-07-30T05:02:51+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,114790,56.35,80.5,1,4787,712,2,14,2,11,0,7,242,131,109,230,morning,1,0,0.3398876404494382,151,54,68.62264150943396,78.08128962337165,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,67088,28.0,80.0,1,2119,424,2,2,1,2,0,15,69,89,150,116,evening,0,1,0.35377358490566035,93,25,93.16666666666667,115.60084582543311,4,2025-09-02T14:15:16+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115881,85.65,85.65,0,11542,426,2,17,3,15,0,3,55,142,215,14,evening,0,1,0.5046948356807511,146,52,69.07843137254902,89.90339982169859,4,2025-08-08T02:46:01+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115169,74.12,74.12,0,13814,1454,3,20,3,16,0,1,179,625,451,199,afternoon,0,0,0.4298486932599725,140,85,40.273809523809526,51.536014035142315,4,2025-07-31T22:03:07+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,117681,83.92,83.92,0,25088,975,2,16,3,14,0,4,221,268,349,137,evening,0,1,0.35794871794871796,136,62,53.52459016393443,57.79177051783525,4,2025-08-08T02:46:00+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,115654,67.2,71.49,0,10174,309,1,12,2,11,0,7,94,60,149,6,evening,0,1,0.48220064724919093,121,33,90.8125,128.8444889925448,4,2025-08-08T02:46:01+00:00
86005,TALL DE COMPETENCIAS DIGITALES-P01,88467,72.84,88.83,0,13806,345,1,4,1,4,0,14,35,209,47,54,afternoon,0,0,0.6057971014492753,127,37,84.83333333333333,87.52507577196884,4,2025-08-08T17:51:51+00:00
